Name,Year,Month,Days,Description,Cover,Site,Video,Results
"Maker Faire 2025 - Rome, Italy",2025,October,17-19,"The SPQR team hosted a friendly tournament during the Maker Faire in Rome (Italy), with HTWK (Leipzig University), and Tech United (Eindhoven University). The first eurpean tournament with Booster Robotics robots!",cover-mf2025.png,https://makerfairerome.eu/it/,,
"World Humanoid Robot Games - Beijing, China",2025,August,13-17,The SPQR Team competed in the first World Humanoid Robot Games held in Beijing in August 2025.,cover-whrg2025.jpg,,,
"RoboCup 2025 - Salvador de Bahia, Brasil",2025,July,15-21,"The SPQR Team competed in the Champions Cup, achieving third place in the seeding round and finishing fourth overall. Additionally, the team earned third place in the KICKin Rollin Technical Challenge!",cover-rc2025.jpg,https://2025.robocup.org/,,https://spl.robocup.org/results-2025/
"RoboCup German Open 2025 - Nuremberg, Germany",2025,March,10-14,"The SPQR Team competed in the RoboCup German Open 2025, achieving third place!",cover-go2025.png,https://2025.robocup.org/,,https://spl.robocup.org/results-2025/
"Maker Faire 2024 - Rome, Italy",2024,October,25-27,"The SPQR team hosted a friendly tournament during the Maker Faire in Rome (Italy), 25-27 October 2024, with HTWK (Leipzig University).",cover-mf2024.png,https://makerfairerome.eu/it/,,
"RoboCup 2024 - Eindhoven, Netherlands",2024,July,17-21,"The SPQR Team competed in the Champions Cup, achieving third place in the seeding round and finishing fifth overall. Additionally, the team earned third place in the Shared Autonomy Challenge!",cover-rc2024.png,https://2024.robocup.org/,https://www.youtube.com/watch?v=lAl1qg1B2WM,https://spl.robocup.org/results-2024/
"Maker Faire 2023 - Rome, Italy",2023,October,20-22,"The SPQR team hosted in a triangular friendly tournament during the Maker Faire in Rome (Italy), 20-22 October 2023, with NaoDevis (Dortmunt Univesity) and Hulks (Hamburg Univesity).",cover-mf2024.png,https://makerfairerome.eu/it/,,
"RoboCup 2023 - Bordeaux, France",2023,July,4-10,"The RoboCup 2023 took place in Bourdeax (France). The SPQR team competed in the Champions Cup winning the seventh place and the quarter-finals. We also won the Best Paper Award!",cover-rc2023.png,https://2023.robocup.org/en/home/,https://www.youtube.com/watch?v=DXEUjxQSiG0,https://spl.robocup.org/results-2023/
"Maker Faire 2022 - Rome, Italy",2022,October,7-9,The SPQR team hosted in a friendly series of matches against Nao Devils team during the Maker Faire in Rome (Italy).,cover-mf2022.png,https://makerfairerome.eu/it/,https://www.youtube.com/watch?v=HJP8uQ0UoJ8,
"RoboCup 2022 - Bangkok, Thailand",2022,July,13-17,The RoboCup 2022 took place in Bangkok (Thailand) from 13 to 17 July 2022. The SPQR team competed in the Standard Platform League achieving  the eleventh place.,cover-rc2022.png,https://2022.robocup.org/,https://www.youtube.com/watch?v=s92LMa1njy4,https://spl.robocup.org/results-2022/
"Maker Faire 2019 - Rome, Italy",2019,October,18-20,The SPQR team hosted a triangular friendly tournament during the Maker Faire in Rome (Italy),cover-mf2019.png,https://makerfairerome.eu/it/,,
"RoboCup 2019 - Sydney, Australia",2019,July,2-8,"The RoboCup 2019 was held in Sydney (Australia), 2-8 July 2019. SPQR Team reconfirmed itself in the Champions Cup including the best 12 teams in the world.",cover-rc2019.png,https://2019.robocup.org/,,https://spl.robocup.org/results-2019/
"RoboCup 2018 - Montereal, Canada",2018,June,18-22,"The RoboCup 2018 was held in Montreal (Canada), 18-22 June 2018. SPQR Team achieved the semifinals in the penalty kick competition and entered the Champions Cup including the best 12 teams in the world.",cover-rc2018.png,https://2018.robocup.org/,,https://spl.robocup.org/results-2018/
"RoboCup German Open 2017 - Magdeburg, Germany",2017,March,5-7,"The RoboCup German Open 2017 was held in Magdeburg (Germany), 5-7 May 2017. SPQR Team achieved the 2nd Place in the Challenge Shield.",cover-go2017.png,https://robocup.de/,,https://spl.robocup.org/results-2017/
"RoboCup 2016 - Leipzig, Germany",2016,July,1-5,"The RoboCup 2016 was held in Leipzig (Germany), 1-5 July 2016.",cover-rc2016.png,https://2016.robocup.org/web/index-2.html,,https://spl.robocup.org/history/results-2016/
